user	transaction date	sales amount	join date	region
665	January/02/2013	31.77	February/08/2011	E
598	January/02/2013	6.2	July/30/2009	I
26	January/02/2013	35.03	June/18/2003	B
1358	January/02/2013	32.73	January/02/2013	K
671	January/02/2013	3.64	May/27/2008	E
498	January/02/2013	11.98	March/05/2003	D
4	January/02/2013	73.91	July/28/2011	B
651	January/02/2013	4.05	June/13/2011	H
1648	January/02/2013	20.09	November/25/2009	B
1941	January/02/2013	41.74	May/08/2011	M
1272	January/02/2013	25.12	October/27/2012	B
2383	January/02/2013	4.13	January/02/2013	E
2608	January/02/2013	54.38	August/07/2012	M
2065	January/02/2013	138.97	July/01/2013	S
1966	January/02/2013	20.01	July/01/2013	I
3207	January/02/2013	58.26	September/02/2013	I
4371	January/02/2013	29.72	November/04/2013	S
5590	January/02/2013	116.2	September/02/2013	C
5235	January/02/2013	114.78	November/12/2014	G
7834	January/02/2013	6.94	January/02/2013	C
7196	January/02/2013	11.3	September/12/2008	F
9564	January/02/2013	63.63	January/02/2013	I
163	January/03/2013	18.6	September/21/2012	B
307	January/03/2013	17.28	August/20/1999	B
173	January/03/2013	30.91	June/05/2007	C
901	January/03/2013	57.92	February/23/2010	M
987	January/03/2013	84.73	June/08/2004	B
309	January/03/2013	19.38	February/04/2012	B
28	January/03/2013	37.9	April/16/2011	J
459	January/03/2013	8.26	October/22/2012	B
19	January/03/2013	34.0	June/06/2002	C
1499	January/03/2013	31.36	July/11/2012	E
4	January/03/2013	30.12	July/28/2011	B
1470	January/03/2013	20.74	October/15/2012	D
1873	January/03/2013	23.43	December/22/2014	I
1459	January/03/2013	23.82	October/19/2011	I
1249	January/03/2013	1.86	January/03/2013	O
1249	January/03/2013	5.61	January/03/2013	O
1417	January/03/2013	22.73	March/02/2007	B
922	January/03/2013	50.0	July/10/2012	J
5366	January/03/2013	10.33	November/10/2014	E
4838	January/03/2013	48.72	November/04/2013	G
4443	January/03/2013	12.38	August/21/2013	F
5134	January/03/2013	0.42	November/04/2013	A
4681	January/03/2013	42.4	August/01/2013	E
4443	January/03/2013	23.55	August/21/2013	F
2347	January/03/2013	215.7	July/25/2013	L
4001	January/03/2013	19.53	July/02/2013	A
5624	January/03/2013	39.05	May/08/2012	C
3926	January/03/2013	13.96	July/02/2013	S
7455	January/03/2013	17.67	February/10/2014	I
7952	January/03/2013	95.35	May/08/2007	S
7448	January/03/2013	63.54	July/13/2004	E
8276	January/03/2013	71.9	March/27/2007	B
6328	January/03/2013	42.48	March/30/2011	S
6987	January/03/2013	18.18	January/23/2009	F
6890	January/03/2013	6.86	May/16/2012	L
305	January/04/2013	11.79	January/01/2001	B
305	January/04/2013	54.68	January/01/2001	B
264	January/04/2013	24.87	June/17/2004	B
96	January/04/2013	2.77	January/11/2008	M
769	January/04/2013	2.85	May/31/2010	B
488	January/04/2013	11.36	September/12/2010	N
253	January/04/2013	39.42	August/01/2009	B
1396	January/04/2013	18.07	January/05/2009	I
1462	January/04/2013	21.58	February/02/2011	I
1575	January/04/2013	12.31	January/04/2013	N
100	January/04/2013	54.33	September/26/2010	E
658	January/04/2013	154.25	November/29/2010	I
1230	January/04/2013	36.08	January/04/2013	C
4	January/04/2013	41.32	July/28/2011	B
1580	January/04/2013	47.23	November/11/2014	P
1876	January/04/2013	11.52	July/01/2013	C
2705	January/04/2013	3.95	July/01/2013	C
4366	January/04/2013	26.34	August/21/2013	G
5252	January/04/2013	10.49	September/17/2013	O
3487	January/04/2013	19.0	July/02/2013	B
4369	January/04/2013	55.98	November/04/2013	E
6208	January/04/2013	10.88	June/23/2012	E
7196	January/04/2013	15.69	September/12/2008	F
6908	January/04/2013	11.82	December/18/2013	H
5944	January/04/2013	23.71	January/09/2014	D
7465	January/04/2013	4.95	July/14/2003	S
8738	January/04/2013	79.84	March/24/2011	D
9022	January/04/2013	33.45	January/04/2013	C
6208	January/04/2013	47.65	June/23/2012	E
9769	January/04/2013	21.4	March/14/2006	S
212	January/05/2013	14.38	December/07/2003	C
19	January/05/2013	11.94	June/06/2002	C
432	January/05/2013	25.62	March/12/2010	H
291	January/05/2013	11.98	March/10/2007	B
52	January/05/2013	10.08	September/29/2004	B
138	January/05/2013	121.94	August/19/2003	H
128	January/05/2013	18.1	January/01/2001	B
99	January/05/2013	4.13	December/12/2010	B
577	January/05/2013	17.45	June/29/2009	C
292	January/05/2013	5.16	January/03/2007	E
316	January/05/2013	31.36	August/22/2007	B
141	January/05/2013	40.45	January/19/2009	M
694	January/05/2013	37.19	January/05/2012	C
1251	January/05/2013	88.35	October/17/2009	A
1192	January/05/2013	70.93	July/19/2009	M
1357	January/05/2013	47.11	July/01/2009	B
703	January/05/2013	15.7	May/02/2011	M
1515	January/05/2013	28.06	April/02/2011	B
545	January/05/2013	66.36	December/16/2009	M
1889	January/05/2013	16.2	January/05/2013	H
