user	transaction date	sales amount	join date	region
53	January/02/2014	37.54	March/23/2000	B
499	January/02/2014	178.59	November/25/2008	B
547	January/02/2014	51.56	May/08/2010	M
591	January/02/2014	12.03	October/16/2009	L
378	January/02/2014	50.02	March/18/2004	B
254	January/02/2014	58.93	January/06/2007	B
657	January/02/2014	14.6	October/02/2009	B
1180	January/02/2014	18.77	May/06/2009	C
1184	January/02/2014	22.46	January/02/2014	B
336	January/02/2014	13.77	May/28/2010	N
393	January/02/2014	18.46	April/19/2010	B
777	January/02/2014	21.02	June/06/2010	C
971	January/02/2014	11.89	February/22/2011	M
167	January/02/2014	29.92	November/15/2010	B
4	January/02/2014	91.01	July/28/2011	B
1374	January/02/2014	69.17	September/05/2011	B
1512	January/02/2014	21.3	July/02/2013	C
4426	January/02/2014	36.88	March/21/2014	H
2528	January/02/2014	4.9	July/01/2013	G
3649	January/02/2014	22.43	November/19/2013	C
2202	January/02/2014	26.22	July/01/2013	B
4370	January/02/2014	28.6	July/02/2013	G
3649	January/02/2014	7.98	November/19/2013	C
4083	January/02/2014	6.13	August/21/2013	I
5495	January/02/2014	29.41	January/02/2014	C
5373	January/02/2014	48.75	November/20/2013	L
5637	January/02/2014	17.62	January/02/2014	C
5652	January/02/2014	21.39	November/04/2013	H
4929	January/02/2014	40.16	January/02/2014	G
3376	January/02/2014	17.19	December/03/2013	G
7117	January/02/2014	22.76	January/02/2014	I
4759	January/02/2014	19.66	March/21/2014	I
7347	January/02/2014	108.52	May/13/2008	C
5038	January/02/2014	54.95	January/09/2014	B
5898	January/02/2014	87.3	January/29/2014	L
6517	January/02/2014	59.16	August/01/2006	C
5166	January/02/2014	6.56	January/29/2014	C
7030	January/02/2014	131.43	May/17/2012	P
6662	January/02/2014	11.06	January/02/2014	I
5995	January/02/2014	15.16	January/02/2014	B
7854	January/02/2014	17.04	September/19/2007	K
7162	January/02/2014	27.85	July/26/2006	I
7251	January/02/2014	17.61	November/12/2014	C
9938	January/02/2014	2.46	September/04/2004	P
191	January/03/2014	24.58	January/01/2001	B
52	January/03/2014	8.93	September/29/2004	B
662	January/03/2014	21.96	July/30/2010	M
408	January/03/2014	31.15	April/10/2009	C
59	January/03/2014	8.2	February/14/2007	B
59	January/03/2014	18.79	February/14/2007	B
1867	January/03/2014	67.95	August/30/2013	E
1671	January/03/2014	52.29	June/25/2013	B
834	January/03/2014	69.58	June/26/2013	H
2837	January/03/2014	2.05	July/10/2013	C
1650	January/03/2014	43.36	June/07/2013	A
2260	January/03/2014	4.02	May/25/2013	I
2680	January/03/2014	40.49	September/17/2013	G
2680	January/03/2014	4.09	September/17/2013	G
3500	January/03/2014	3.69	July/25/2013	D
2772	January/03/2014	18.84	March/21/2014	O
2526	January/03/2014	4.9	July/01/2013	M
2877	January/03/2014	4.92	May/17/2013	O
1756	January/03/2014	31.14	July/01/2013	G
3500	January/03/2014	29.25	July/25/2013	D
5009	January/03/2014	9.84	August/01/2013	I
5042	January/03/2014	27.97	October/30/2013	L
4940	January/03/2014	25.0	September/02/2013	O
5075	January/03/2014	44.24	September/28/2013	P
5009	January/03/2014	43.84	August/01/2013	I
5240	January/03/2014	21.63	March/21/2014	S
5390	January/03/2014	6.55	January/03/2014	A
5714	January/03/2014	59.96	January/03/2014	A
4499	January/03/2014	31.21	March/21/2014	C
5473	January/03/2014	45.16	September/02/2013	M
6593	January/03/2014	19.66	February/27/2011	C
4379	January/03/2014	115.47	July/02/2013	C
6677	January/03/2014	15.56	October/05/2005	B
6102	January/03/2014	8.83	December/18/2013	G
5199	January/03/2014	35.6	December/03/2013	P
7229	January/03/2014	33.19	October/09/2003	I
5101	January/03/2014	4.1	March/05/2011	I
7579	January/03/2014	26.22	January/29/2014	A
6455	January/03/2014	1.63	January/09/2014	G
7856	January/03/2014	2.03	January/29/2014	B
5068	January/03/2014	49.77	November/28/2013	C
3976	January/03/2014	51.6	March/21/2014	A
6327	January/03/2014	20.07	March/21/2014	L
9157	January/03/2014	59.83	July/26/2003	G
9668	January/03/2014	61.06	April/08/2005	S
9711	January/03/2014	64.34	November/15/2009	O
9996	January/03/2014	8.52	December/16/2010	S
191	January/04/2014	2.38	January/01/2001	B
388	January/04/2014	56.7	January/18/2010	B
518	January/04/2014	47.46	January/25/2003	B
71	January/04/2014	4.92	September/30/2010	B
378	January/04/2014	40.08	March/18/2004	B
13	January/04/2014	34.34	December/19/2007	C
8	January/04/2014	13.5	December/21/2002	B
285	January/04/2014	4.02	August/28/2009	B
253	January/04/2014	34.65	August/01/2009	B
577	January/04/2014	9.83	June/29/2009	C
1259	January/04/2014	33.52	July/17/2006	B
1637	January/04/2014	41.72	April/27/2010	C
751	January/04/2014	63.52	October/28/2009	E
361	January/04/2014	8.11	July/18/2010	B
1596	January/04/2014	8.93	September/19/2011	E
1218	January/04/2014	89.07	December/02/2012	I
1260	January/04/2014	23.28	January/03/2003	B
2593	January/04/2014	22.54	January/04/2014	C
1974	January/04/2014	8.19	December/22/2010	H
3149	January/04/2014	2.46	July/02/2013	C
629	January/04/2014	2.76	July/02/2013	N
3951	January/04/2014	49.1	June/01/2013	M
4011	January/04/2014	18.03	January/04/2014	C
3636	January/04/2014	5.4	July/25/2013	S
3694	January/04/2014	8.35	August/01/2013	B
2720	January/04/2014	49.58	June/08/2013	I
3376	January/04/2014	114.33	December/03/2013	G
3484	January/04/2014	3.93	July/02/2013	C
3637	January/04/2014	13.89	July/02/2013	N
